,NOC,Sport,count
915,CZE,Luge,18
916,CZE,Modern Pentathlon,12
917,CZE,Nordic Combined,62
918,CZE,Rhythmic Gymnastics,3
919,CZE,Rowing,59
920,CZE,Sailing,19
921,CZE,Shooting,95
922,CZE,Short Track Speed Skating,12
923,CZE,Skeleton,1
924,CZE,Ski Jumping,72
925,CZE,Snowboarding,15
926,CZE,Speed Skating,14
927,CZE,Swimming,102
928,CZE,Synchronized Swimming,10
929,CZE,Table Tennis,22
930,CZE,Tennis,72
931,CZE,Trampolining,3
932,CZE,Triathlon,17
933,CZE,Weightlifting,7
934,CZE,Wrestling,11
935,DEN,Alpine Skiing,20
936,DEN,Archery,27
937,DEN,Art Competitions,104
938,DEN,Athletics,257
939,DEN,Badminton,104
940,DEN,Biathlon,2
941,DEN,Boxing,84
942,DEN,Canoeing,124
943,DEN,Cross Country Skiing,33
944,DEN,Curling,36
945,DEN,Cycling,323
946,DEN,Diving,29
947,DEN,Equestrianism,140
948,DEN,Fencing,229
949,DEN,Figure Skating,7
950,DEN,Football,151
951,DEN,Freestyle Skiing,3
952,DEN,Golf,4
953,DEN,Gymnastics,295
954,DEN,Handball,159
955,DEN,Hockey,69
956,DEN,Judo,2
957,DEN,Modern Pentathlon,25
958,DEN,Rhythmic Gymnastics,1
959,DEN,Rowing,282
960,DEN,Sailing,207
961,DEN,Shooting,286
962,DEN,Snowboarding,2
963,DEN,Speed Skating,9
964,DEN,Swimming,349
965,DEN,Table Tennis,10
966,DEN,Taekwondo,4
967,DEN,Tennis,54
968,DEN,Trampolining,3
969,DEN,Triathlon,7
970,DEN,Tug-Of-War,3
971,DEN,Weightlifting,26
972,DEN,Wrestling,100
973,DJI,Athletics,28
974,DJI,Judo,3
975,DJI,Sailing,4
976,DJI,Swimming,2
977,DJI,Table Tennis,1
978,DMA,Athletics,15
979,DMA,Cross Country Skiing,1
980,DMA,Swimming,3
981,DOM,Archery,1
982,DOM,Athletics,73
983,DOM,Baseball,20
984,DOM,Boxing,51
985,DOM,Cycling,1
986,DOM,Diving,5
987,DOM,Equestrianism,1
988,DOM,Gymnastics,2
989,DOM,Judo,27
990,DOM,Sailing,2
991,DOM,Shooting,9
992,DOM,Swimming,6
993,DOM,Synchronized Swimming,4
994,DOM,Table Tennis,15
