,Sport,Year,NOC,count
3668,Athletics,2012,ITA,36
3669,Athletics,2012,IVB,2
3670,Athletics,2012,JAM,57
3671,Athletics,2012,JOR,2
3672,Athletics,2012,JPN,56
3673,Athletics,2012,KAZ,24
3674,Athletics,2012,KEN,45
3675,Athletics,2012,KGZ,2
3676,Athletics,2012,KIR,2
3677,Athletics,2012,KOR,18
3678,Athletics,2012,KSA,11
3679,Athletics,2012,KUW,3
3680,Athletics,2012,LAO,2
3681,Athletics,2012,LAT,22
3682,Athletics,2012,LBA,2
3683,Athletics,2012,LBR,3
3684,Athletics,2012,LCA,2
3685,Athletics,2012,LES,3
3686,Athletics,2012,LIB,2
3687,Athletics,2012,LIE,1
3688,Athletics,2012,LTU,20
3689,Athletics,2012,MAD,2
3690,Athletics,2012,MAR,22
3691,Athletics,2012,MAS,2
3692,Athletics,2012,MAW,2
3693,Athletics,2012,MDA,8
3694,Athletics,2012,MDV,2
3695,Athletics,2012,MEX,18
3696,Athletics,2012,MGL,2
3697,Athletics,2012,MHL,2
3698,Athletics,2012,MKD,2
3699,Athletics,2012,MLI,2
3700,Athletics,2012,MLT,2
3701,Athletics,2012,MNE,2
3702,Athletics,2012,MON,1
3703,Athletics,2012,MOZ,2
3704,Athletics,2012,MRI,2
3705,Athletics,2012,MTN,2
3706,Athletics,2012,MYA,2
3707,Athletics,2012,NAM,3
3708,Athletics,2012,NCA,2
3709,Athletics,2012,NED,22
3710,Athletics,2012,NEP,2
3711,Athletics,2012,NGR,30
3712,Athletics,2012,NIG,2
3713,Athletics,2012,NOR,13
3714,Athletics,2012,NZL,8
3715,Athletics,2012,OMA,2
3716,Athletics,2012,PAK,2
3717,Athletics,2012,PAN,3
3718,Athletics,2012,PAR,2
3719,Athletics,2012,PER,5
3720,Athletics,2012,PHI,2
3721,Athletics,2012,PLE,2
3722,Athletics,2012,PLW,2
3723,Athletics,2012,PNG,2
3724,Athletics,2012,POL,57
3725,Athletics,2012,POR,25
3726,Athletics,2012,PRK,5
3727,Athletics,2012,PUR,10
3728,Athletics,2012,QAT,6
3729,Athletics,2012,ROU,18
3730,Athletics,2012,RSA,22
3731,Athletics,2012,RUS,106
3732,Athletics,2012,RWA,3
3733,Athletics,2012,SAM,1
3734,Athletics,2012,SEN,6
3735,Athletics,2012,SEY,2
3736,Athletics,2012,SGP,2
3737,Athletics,2012,SKN,7
3738,Athletics,2012,SLE,2
3739,Athletics,2012,SLO,12
3740,Athletics,2012,SMR,1
3741,Athletics,2012,SOL,2
3742,Athletics,2012,SOM,2
3743,Athletics,2012,SRB,14
3744,Athletics,2012,SRI,2
3745,Athletics,2012,STP,2
3746,Athletics,2012,SUD,4
3747,Athletics,2012,SUI,13
3748,Athletics,2012,SUR,2
3749,Athletics,2012,SVK,11
3750,Athletics,2012,SWE,9
3751,Athletics,2012,SWZ,2
3752,Athletics,2012,SYR,2
3753,Athletics,2012,TAN,3
3754,Athletics,2012,TGA,2
3755,Athletics,2012,THA,2
3756,Athletics,2012,TJK,2
3757,Athletics,2012,TKM,2
3758,Athletics,2012,TLS,2
3759,Athletics,2012,TOG,2
3760,Athletics,2012,TPE,6
3761,Athletics,2012,TTO,30
3762,Athletics,2012,TUN,5
3763,Athletics,2012,TUR,33
3764,Athletics,2012,TUV,2
3765,Athletics,2012,UAE,2
3766,Athletics,2012,UGA,12
3767,Athletics,2012,UKR,80
3768,Athletics,2012,URU,2
3769,Athletics,2012,USA,141
3770,Athletics,2012,UZB,13
3771,Athletics,2012,VAN,2
3772,Athletics,2012,VEN,13
3773,Athletics,2012,VIE,2
3774,Athletics,2012,VIN,2
3775,Athletics,2012,YEM,2
3776,Athletics,2012,ZAM,3
3777,Athletics,2012,ZIM,3
3778,Athletics,2016,AFG,2
3779,Athletics,2016,ALB,2
3780,Athletics,2016,ALG,16
3781,Athletics,2016,AND,1
3782,Athletics,2016,ANG,2
3783,Athletics,2016,ANT,7
3784,Athletics,2016,ARG,13
3785,Athletics,2016,ARM,5
3786,Athletics,2016,ASA,2
3787,Athletics,2016,AUS,65
3788,Athletics,2016,AUT,6
3789,Athletics,2016,AZE,4
3790,Athletics,2016,BAH,31
3791,Athletics,2016,BAN,2
3792,Athletics,2016,BAR,8
3793,Athletics,2016,BDI,7
3794,Athletics,2016,BEL,27
3795,Athletics,2016,BEN,2
3796,Athletics,2016,BER,2
3797,Athletics,2016,BIH,5
3798,Athletics,2016,BIZ,2
3799,Athletics,2016,BLR,36
3800,Athletics,2016,BOL,6
3801,Athletics,2016,BOT,11
3802,Athletics,2016,BRA,72
3803,Athletics,2016,BRN,29
3804,Athletics,2016,BRU,2
3805,Athletics,2016,BUL,12
3806,Athletics,2016,BUR,2
3807,Athletics,2016,CAF,2
3808,Athletics,2016,CAM,2
3809,Athletics,2016,CAN,78
3810,Athletics,2016,CAY,2
3811,Athletics,2016,CGO,2
3812,Athletics,2016,CHA,2
3813,Athletics,2016,CHI,10
3814,Athletics,2016,CHN,57
3815,Athletics,2016,CIV,7
3816,Athletics,2016,CMR,2
3817,Athletics,2016,COD,2
3818,Athletics,2016,COK,2
3819,Athletics,2016,COL,34
3820,Athletics,2016,COM,2
3821,Athletics,2016,CPV,2
3822,Athletics,2016,CRC,4
3823,Athletics,2016,CRO,10
3824,Athletics,2016,CUB,41
3825,Athletics,2016,CYP,8
3826,Athletics,2016,CZE,26
3827,Athletics,2016,DEN,8
3828,Athletics,2016,DJI,6
3829,Athletics,2016,DMA,2
3830,Athletics,2016,DOM,14
3831,Athletics,2016,ECU,18
3832,Athletics,2016,EGY,4
3833,Athletics,2016,ERI,11
3834,Athletics,2016,ESA,2
3835,Athletics,2016,ESP,49
3836,Athletics,2016,EST,18
3837,Athletics,2016,ETH,35
3838,Athletics,2016,FIJ,2
3839,Athletics,2016,FIN,16
3840,Athletics,2016,FRA,51
3841,Athletics,2016,FSM,2
3842,Athletics,2016,GAB,2
3843,Athletics,2016,GAM,2
3844,Athletics,2016,GBR,86
